Name,Link
Acme on Rubinshteina mini hotel,https://tury.ru/hotel/id/86956-russia-st-petersburg-acme-on-rubinshteina-mini-hotel
Akme na Maloj Morskoj mini hotel,https://tury.ru/hotel/id/86958-russia-st-petersburg-akme-na-maloj-morskoj-mini-hotel
Schastlivyj Pushkin,https://tury.ru/hotel/id/86960-russia-st-petersburg-schastlivyy-pushkin-schastlivyj-pushkin
Russkaya Skazka mini hotel,https://tury.ru/hotel/id/86962-russia-st-petersburg-russkaya-skazka-russkaya-skazka
Pushka INN hotel 5*,https://tury.ru/hotel/id/86972-russia-st-petersburg-pushka-inn-pushka-inn
AleksandrInn mini hotel 3*,https://tury.ru/hotel/id/87046-russia-st-petersburg-aleksandrinn-mini-hotel
Nevskiy Club Mini Hotel,https://tury.ru/hotel/id/87047-russia-st-petersburg-nevskiy-klub-nevskij-klub
Nika mini hotel St. Petersburg,https://tury.ru/hotel/id/87142-russia-st-petersburg-nika-nika
Piter mini hotel 3*,https://tury.ru/hotel/id/87143-russia-st-petersburg-piter-piter
Svet Mayaka guest house,https://tury.ru/hotel/id/87153-russia-st-petersburg-svet-mayaka-guest-house
Golden Triangle Boutique Hotel 4*,https://tury.ru/hotel/id/87168-russia-st-petersburg-golden-triangle-boutique-hotel
Zlatoust Dom Voyekovoy 3*,https://tury.ru/hotel/id/87179-russia-st-petersburg-zlatoust-mini-hotel
Casa Leto hotel 4*,https://tury.ru/hotel/id/87183-russia-st-petersburg-casa-leto-hotel-4
Gavan mini hotel Saint-Petersburg 3*,https://tury.ru/hotel/id/87185-russia-st-petersburg-gavan-mini-hotel-saint-petersburg
Butterfly mini hotel 3*,https://tury.ru/hotel/id/87188-russia-st-petersburg-butterfly-mini-hotel
Silva hotel,https://tury.ru/hotel/id/87191-russia-st-petersburg-silva-silva
Respectale Mini Hotel 3*,https://tury.ru/hotel/id/87193-russia-st-petersburg-respektal-respectale
Severnaya MIni-Hotel 2*,https://tury.ru/hotel/id/87338-russia-st-petersburg-severnaya-severnaya
Mechta mini hotel St. Petersburg,https://tury.ru/hotel/id/87390-russia-st-petersburg-mechta-mechta
Anichkov mini hotel St. Petersburg 3*,https://tury.ru/hotel/id/87411-russia-st-petersburg-anichkov-mini-hotel-st-petersburg
Suvorov hotel 3*,https://tury.ru/hotel/id/87522-russia-st-petersburg-suvorov
Apple hostel St.Petersburg,https://tury.ru/hotel/id/87544-russia-st-petersburg-apple-hostel-st-petersburg
Noteburg mini hotel 3*,https://tury.ru/hotel/id/87558-russia-st-petersburg-noteburg-mini-hotel-3
BVH na Suvorovskom mini hotel,https://tury.ru/hotel/id/87560-russia-st-petersburg-bvh-na-suvorovskom-mini-hotel
Admiral Benbow hostel,https://tury.ru/hotel/id/87565-russia-st-petersburg-admiral-benbow-hostel
Sky Hotel 3*,https://tury.ru/hotel/id/88236-russia-st-petersburg-sky-hotel-3
